"lat","lon","Nucifraga_caryocatactes","Merops_apiaster","Grus_grus","Coenagrion_mercuriale","Ophiogomphus_cecilia","Phaneroptera_falcata","Pinus_cembra","Corylus_avellana"
42.25,19.75,0,0,0,0,0,0,0,1
42.25,20.25,0,0,0,0,0,0,0,1
42.25,20.75,1,0,0,0,0,0,0,1
42.25,21.25,1,1,0,0,0,0,0,1
42.25,21.75,0,1,0,0,1,0,0,1
42.25,22.25,0,0,0,0,1,0,0,1
42.25,22.75,1,1,0,0,1,0,0,1
42.25,23.25,1,1,0,0,1,0,0,1
42.25,23.75,1,0,0,0,1,0,0,1
42.25,24.25,1,1,0,0,1,0,0,1
42.25,24.75,0,1,0,0,1,0,0,1
42.25,25.25,0,1,0,0,1,0,0,1
42.25,25.75,0,0,0,0,1,0,0,1
42.25,26.25,0,1,0,0,1,0,0,0
42.25,26.75,0,1,0,0,1,0,0,0
42.25,27.25,0,1,0,0,1,0,0,0
42.25,27.75,0,0,0,0,1,0,0,0
42.75,-9.25,0,0,0,1,0,0,0,0
42.75,-8.75,0,0,0,1,0,0,0,1
42.75,-8.25,0,0,0,1,0,0,0,1
42.75,-7.75,0,0,0,1,0,0,0,1
42.75,-7.25,0,0,0,1,0,0,0,1
